scenario,treatment_var,panel,sample_group,period,treatment_group,n_couples
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2014,"Wife key (non-edu), husband not / edu",91
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2014,All other couples,478
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2015,"Wife key (non-edu), husband not / edu",114
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2015,All other couples,554
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2016,"Wife key (non-edu), husband not / edu",115
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2016,All other couples,550
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2017,"Wife key (non-edu), husband not / edu",116
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2017,All other couples,560
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2018,"Wife key (non-edu), husband not / edu",120
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2018,All other couples,571
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2019,"Wife key (non-edu), husband not / edu",126
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2019,All other couples,611
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2020,"Wife key (non-edu), husband not / edu",51
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2020,All other couples,250
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2021,"Wife key (non-edu), husband not / edu",49
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2021,All other couples,312
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2022,"Wife key (non-edu), husband not / edu",52
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2022,All other couples,292
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2023,"Wife key (non-edu), husband not / edu",52
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2023,All other couples,281
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2024,"Wife key (non-edu), husband not / edu",18
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Young kids: 0-10,2024,All other couples,108
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2009,"Wife key (non-edu), husband not / edu",18
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2009,All other couples,88
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2010,"Wife key (non-edu), husband not / edu",39
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2010,All other couples,224
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2011,"Wife key (non-edu), husband not / edu",42
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2011,All other couples,239
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2012,"Wife key (non-edu), husband not / edu",44
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2012,All other couples,236
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2013,"Wife key (non-edu), husband not / edu",42
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2013,All other couples,225
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2014,"Wife key (non-edu), husband not / edu",41
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2014,All other couples,230
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2015,"Wife key (non-edu), husband not / edu",43
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2015,All other couples,241
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2016,"Wife key (non-edu), husband not / edu",44
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2016,All other couples,248
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2017,"Wife key (non-edu), husband not / edu",50
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2017,All other couples,240
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2018,"Wife key (non-edu), husband not / edu",45
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2018,All other couples,247
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2019,"Wife key (non-edu), husband not / edu",50
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2019,All other couples,268
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2020,"Wife key (non-edu), husband not / edu",21
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2020,All other couples,134
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2021,"Wife key (non-edu), husband not / edu",31
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2021,All other couples,148
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2022,"Wife key (non-edu), husband not / edu",17
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2022,All other couples,124
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2023,"Wife key (non-edu), husband not / edu",22
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2023,All other couples,124
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2024,"Wife key (non-edu), husband not / edu",5
2019_only,treat_wife_key_notedu_husb_not_or_edu,history_future_year,Older kids: 11-17,2024,All other couples,65
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,2019,"Husband shutdown, wife not",39
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,2019,All other couples,905
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,baseline,"Husband shutdown, wife not",39
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,baseline,All other couples,904
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ca,"Husband shutdown, wife not",39
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ca,All other couples,892
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cb,"Husband shutdown, wife not",35
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cb,All other couples,844
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cc,"Husband shutdown, wife not",30
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cc,All other couples,833
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cd,"Husband shutdown, wife not",34
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cd,All other couples,802
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ce,"Husband shutdown, wife not",32
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ce,All other couples,783
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cf,"Husband shutdown, wife not",32
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cf,All other couples,747
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cg,"Husband shutdown, wife not",30
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,cg,All other couples,725
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ch,"Husband shutdown, wife not",31
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ch,All other couples,743
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ci,"Husband shutdown, wife not",31
2019_only,treat_husb_shutdown_wife_not,covid_wave,All couples,ci,All other couples,770
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,2019,"Husband shutdown, wife not",18
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,2019,All other couples,323
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,baseline,"Husband shutdown, wife not",18
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,baseline,All other couples,323
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ca,"Husband shutdown, wife not",18
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ca,All other couples,320
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cb,"Husband shutdown, wife not",16
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cb,All other couples,295
