treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cb,"Husband shutdown, wife not",16,18,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cb,All other couples,295,361,66
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cc,"Husband shutdown, wife not",12,14,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cc,All other couples,289,347,58
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cd,"Husband shutdown, wife not",14,15,1
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cd,All other couples,273,333,60
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ce,"Husband shutdown, wife not",14,16,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ce,All other couples,276,328,52
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cf,"Husband shutdown, wife not",14,15,1
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cf,All other couples,257,304,47
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cg,"Husband shutdown, wife not",12,14,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cg,All other couples,243,291,48
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ch,"Husband shutdown, wife not",13,15,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ch,All other couples,254,303,49
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ci,"Husband shutdown, wife not",13,15,2
treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ci,All other couples,263,317,54
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,2019,"Husband shutdown, wife not",8,8,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,2019,All other couples,163,190,27
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,baseline,"Husband shutdown, wife not",8,8,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,baseline,All other couples,163,190,27
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ca,"Husband shutdown, wife not",8,8,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ca,All other couples,160,187,27
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cb,"Husband shutdown, wife not",6,6,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cb,All other couples,151,177,26
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cc,"Husband shutdown, wife not",6,6,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cc,All other couples,153,176,23
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cd,"Husband shutdown, wife not",7,7,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cd,All other couples,146,170,24
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ce,"Husband shutdown, wife not",6,6,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ce,All other couples,138,161,23
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cf,"Husband shutdown, wife not",7,7,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cf,All other couples,126,148,22
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cg,"Husband shutdown, wife not",7,7,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cg,All other couples,132,153,21
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ch,"Husband shutdown, wife not",7,7,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ch,All other couples,132,154,22
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ci,"Husband shutdown, wife not",7,7,0
treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ci,All other couples,138,164,26
treat_husb_shutdown_wife_not,history_future_year,All couples,2009,"Husband shutdown, wife not",19,26,7
treat_husb_shutdown_wife_not,history_future_year,All couples,2009,All other couples,553,757,204
treat_husb_shutdown_wife_not,history_future_year,All couples,2010,"Husband shutdown, wife not",64,80,16
treat_husb_shutdown_wife_not,history_future_year,All couples,2010,All other couples,1444,1909,465
treat_husb_shutdown_wife_not,history_future_year,All couples,2011,"Husband shutdown, wife not",71,89,18
treat_husb_shutdown_wife_not,history_future_year,All couples,2011,All other couples,1519,2008,489
treat_husb_shutdown_wife_not,history_future_year,All couples,2012,"Husband shutdown, wife not",70,87,17
treat_husb_shutdown_wife_not,history_future_year,All couples,2012,All other couples,1526,2016,490
treat_husb_shutdown_wife_not,history_future_year,All couples,2013,"Husband shutdown, wife not",65,82,17
treat_husb_shutdown_wife_not,history_future_year,All couples,2013,All other couples,1499,1993,494
treat_husb_shutdown_wife_not,history_future_year,All couples,2014,"Husband shutdown, wife not",63,80,17
treat_husb_shutdown_wife_not,history_future_year,All couples,2014,All other couples,1499,1991,492
treat_husb_shutdown_wife_not,history_future_year,All couples,2015,"Husband shutdown, wife not",72,98,26
